product_name,description,rating,price,product_url,category
MSI Mobiles Model 20201,"MSI Mobiles Model 20201 built for performance, durability, and daily usage.",4.3,55953,https://www.amazon.in/dp/NEWITEM20201,mobile
OnePlus Mobiles Model 20202,"OnePlus Mobiles Model 20202 built for performance, durability, and daily usage.",4.2,54926,https://www.amazon.in/dp/NEWITEM20202,mobile
Dell Laptops Model 20203,"Dell Laptops Model 20203 built for performance, durability, and daily usage.",4.6,87217,https://www.amazon.in/dp/NEWITEM20203,laptop
HP Headphones Model 20204,"HP Headphones Model 20204 built for performance, durability, and daily usage.",4.3,53736,https://www.amazon.in/dp/NEWITEM20204,other
Asus Smart Watches Model 20205,"Asus Smart Watches Model 20205 built for performance, durability, and daily usage.",4.8,50748,https://www.amazon.in/dp/NEWITEM20205,watch
MSI Smart Watches Model 20206,"MSI Smart Watches Model 20206 built for performance, durability, and daily usage.",4.7,89578,https://www.amazon.in/dp/NEWITEM20206,watch
Canon Laptops Model 20207,"Canon Laptops Model 20207 built for performance, durability, and daily usage.",4.2,7235,https://www.amazon.in/dp/NEWITEM20207,laptop
OnePlus Headphones Model 20208,"OnePlus Headphones Model 20208 built for performance, durability, and daily usage.",3.7,82225,https://www.amazon.in/dp/NEWITEM20208,other
MSI Cameras Model 20209,"MSI Cameras Model 20209 built for performance, durability, and daily usage.",4.7,61555,https://www.amazon.in/dp/NEWITEM20209,other
Realme Cameras Model 20210,"Realme Cameras Model 20210 built for performance, durability, and daily usage.",4.0,39611,https://www.amazon.in/dp/NEWITEM20210,other
OnePlus Smart Watches Model 20211,"OnePlus Smart Watches Model 20211 built for performance, durability, and daily usage.",3.6,11303,https://www.amazon.in/dp/NEWITEM20211,watch
Lenovo Smart Watches Model 20212,"Lenovo Smart Watches Model 20212 built for performance, durability, and daily usage.",4.2,11245,https://www.amazon.in/dp/NEWITEM20212,watch
Asus Mobiles Model 20213,"Asus Mobiles Model 20213 built for performance, durability, and daily usage.",4.7,89860,https://www.amazon.in/dp/NEWITEM20213,mobile
MSI Smart Watches Model 20214,"MSI Smart Watches Model 20214 built for performance, durability, and daily usage.",4.8,66422,https://www.amazon.in/dp/NEWITEM20214,watch
Noise Mobiles Model 20215,"Noise Mobiles Model 20215 built for performance, durability, and daily usage.",4.1,37544,https://www.amazon.in/dp/NEWITEM20215,mobile
Asus Smart Watches Model 20216,"Asus Smart Watches Model 20216 built for performance, durability, and daily usage.",4.2,29461,https://www.amazon.in/dp/NEWITEM20216,watch
Realme Laptops Model 20217,"Realme Laptops Model 20217 built for performance, durability, and daily usage.",4.0,8350,https://www.amazon.in/dp/NEWITEM20217,laptop
